imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,certification
tt0271604,0.0,/uBazz9l4I6tWYvZ8qyUQLaiMBW5.jpg,,0.0,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",,165065.0,hi,कुछ खट्टी कुछ मीठी,"This story revolves around the lives of two look-alike sisters, who are brought up separately by their estranged parents, who had separated due to a misunderstandings when the girls were little. The twins meet, find out about their backgrounds, and decide to switch places",1.242,/w8zIRrBdLBe5Jz9xAtfyTgxnJVw.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",2001-01-19,0.0,120.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Kuch Khatti Kuch Meethi,0.0,6.2,8.0,
tt0271637,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,117792.0,nl,Met grote blijdschap,"By accident, Luc discovers the whereabouts of his brother Ad, who mysteriously disappeared fifteen years before. As it turns out, he is living with Els, secluded from the rest of the world, on a farm. Luc decides to stay a few days, even though he and his wife Mieke are not welcome at first. After a while, Mieke heads home. Also, Luc hears strange sounds coming from a barn at the farm. He decides to investigate the matter. He discovers a secret that Ad and Els have been hiding for years.",1.3719999999999999,/llvdstSkcfy0Vil1d53vJxWV0vq.jpg,"[{'id': 865, 'logo_path': None, 'name': 'Motel Films', 'origin_country': ''}, {'id': 131486, 'logo_path': None, 'name': 'Vrijzinnig Protestantse Radio Omroep (VPRO)', 'origin_country': 'NL'}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2001-02-08,0.0,90.0,"[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,,With Great Joy,0.0,7.7,6.0,
tt0271788,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,342602.0,en,Scandal: Sin in the City,"Tim LeRoy worked as the head of department in the New York real estate agency, engaged in major transactions. Tim received honoraria not in one hundred thousand dollars. His weakness was not money, but a woman. Once he succumbed to temptation and had sex with her co-worker Brenda Cooper. The next day the chief Tim notified of dismissal, because the brand has filed for Leroy to court for sexual harassment and demanded compensation from the real estate agency at 10 million dollars …",1.002,/Apl1xzVm6YKFm8mg0Zm3cN9Mp3B.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-05-31,0.0,84.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Scandal: Sin in the City,0.0,3.2,4.0,
tt0271809,0.0,,,1900000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,28446.0,en,Suspended Animation,"Hollywood animator Tom (Alex McArthur) gets lost in the Michigan woods after a snowmobile ride goes wrong. He finds refuge at an isolated cabin inhabited by two sisters (Laura Esterman and Sage Allen). Initially grateful to them, Tom soon realizes that the women are cannibals who peg him as their next meal. Tom's friends manage to rescue him, but he's perpetually haunted by his horrific ordeal.",2.221,/gmc2L8rouQElPgynA486ZhuHMqs.jpg,"[{'id': 66152, 'logo_path': None, 'name': 'Filmacres', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-01-01,0.0,114.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Suspended Animation,0.0,4.8,6.0,
tt0271893,0.0,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,185261.0,en,îles flottantes,"Kaat leaves Max the day after her thirtieth birthday and moves in with her friend Sascha. Kaat is in trouble. She is pregnant and doesnt know if the father is Max or Christophe, the boyfriend of Isa, another good friend of Kaat and Sascha. While Sascha and Isa try to find out what is really going on, Kaat keeps her mouth tightly shut and makes plans to cover her tracks by arranging a speedy abortion.",1.331,,[],[],2001-04-11,0.0,80.0,"[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,,Floating Island,0.0,6.0,8.0,
tt0271935,0.0,/82yzo1O1X544LlKdKhmcVjXBU5s.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,18296.0,fr,15 août,Three men are abandonned by their wives for a few days in the summer holidays. They are alone with five kids to feed and a house to maintain. And they will learn what they did wrong with their wives.,3.66,/9tC2c9pGVMEqfivcYH412FwFeQa.jpg,"[{'id': 6896, 'logo_path': '/2Q89KvzxTKB5BAv9RqFIPI1qb7E.png', 'name': 'EuropaCorp', 'origin_country': 'FR'}, {'id': 121921, 'logo_path': None, 'name': 'Leeloo Productions', 'origin_country': ''}, {'id': 356, 'logo_path': '/tSJvuFaLIp7l0ONLUiAHA61GbXu.png', 'name': 'TF1 Films Production', 'origin_country': 'FR'}, {'id': 155868, 'logo_path': None, 'name': 'WAF Productions', 'origin_country': ''}, {'id': 189, 'logo_path': '/3NcJ66KlMs1s6yOh0AMSLMvhtSV.png', 'name': 'ARP Sélection', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2001-04-18,0.0,92.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,August 15th,0.0,5.0,79.0,
tt0271945,0.0,/fFklgaA69EQovQzNkOp0TAwoIdD.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,75118.0,fr,Absolument fabuleux,"The wildly popular British television show Absolutely Fabulous gets a Francophonic makeover with this film version directed by Gabriel Aghion. In this go around, Josiane Balasko and Nathalie Baye play the incorrigible Eddie and Patsy, who leave no impulse unenacted and no lust unsated -- be it for sex or the latest in designer clothing. Waking up from a night of drunken debauchery, the two dip right into a feast of champagne and caviar, much to the irritation of Eddie's elegant mother and her resentful daughter. As Eddie stretches an appalling pair of leopard-print leotards (complete with matching shoes, purse, and hat) over her massive rear end, she and Patsy learn of a handsome young Rollerblading delivery boy who quickly becomes the object of their lust. This film was screened at the 2001 Toronto Film Festival.",4.366,/ysp3coAxHr4plG6wkIlYdNHAFx7.jpg,"[{'id': 6975, 'logo_path': None, 'name': 'Josy Films', 'origin_country': 'FR'}, {'id': 694, 'logo_path': '/5LEHONGkZBIoWvp1ygHOF8iyi1M.png', 'name': 'StudioCanal', 'origin_country': 'FR'}, {'id': 356, 'logo_path': '/tSJvuFaLIp7l0ONLUiAHA61GbXu.png', 'name': 'TF1 Films Production', 'origin_country': 'FR'}, {'id': 208, 'logo_path': '/bxQYlRhQu6nbohBEL0SWz8xIAGy.png', 'name': 'Bac Films', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",2001-08-29,0.0,105.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Absolutely Fabulous,0.0,5.0,45.0,
tt0271946,0.0,/sfSXkCTeJ7qBJm44V65u3y7YQf6.jpg,,25697387.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",,11847.0,cn,特務迷城,A fun-filled story about an ordinary guy about to kick into an action-packed adventure. Jackie Chan plays a bored and unsuccessful salesman who never thought his life would amount to anything. All that changes one day when he becomes an instant hero by foiling an attempted bank robbery.,7.728,/fPW4Qn9wm82uOexHMB3TC8x6lRU.jpg,"[{'id': 203, 'logo_path': None, 'name': 'Panfilm', 'origin_country': ''}, {'id': 2521, 'logo_path': '/e9lXexogBN1nOXA8axzASggea8B.png', 'name': 'Orange Sky Golden Harvest', 'origin_country': 'HK'}]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}, {'iso_3166_1': 'TR', 'name': 'Turkey'}]",2001-01-18,790144.0,108.0,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}, {'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Cantonese', 'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,"Ordinary Guy, Extraordinary Spy.",The Accidental Spy,0.0,5.9879999999999995,380.0,PG-13
tt0271972,0.0,/nf8QpUPjIDVsulL3KwtV9wftsFy.jpg,,570000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",,12587.0,es,Arachnid,"Arachnid is a 2001 film directed by Jack Sholder. In this movie, giant killer spiders menace survivors of a plane crash.",5.287,/tNzkiouX9WMixVD7TcmvloxOzzE.jpg,"[{'id': 7956, 'logo_path': None, 'name': 'Castelao Productions', 'origin_country': 'ES'}, {'id': 7957, 'logo_path': None, 'name': 'TVC', 'origin_country': ''}, {'id': 357, 'logo_path': None, 'name': 'Vía Digital', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]",2001-06-29,0.0,95.0,"[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Arachnid,0.0,4.1,56.0,
tt0271982,0.0,,,0.0,"[{'id': 878, 'name': 'Science Fiction'}]",,281547.0,en,Backgammon,"SURVIVAL OF THE MISFITS... Set in a futuristic world, BACKGAMMON is a clever black comedy, a tongue-in-cheek look at the runaway values that's created the never-ending 9-5 loop.",0.621,/3kF5xQKxkrm3e9i8dlcI7PleEzh.jpg,[],[],2001-01-01,0.0,95.0,[],Released,,Backgammon,0.0,8.0,1.0,
